SNo	Country	Capital City	Notes
126	 Lesotho	Maseru	
127	 Wallis and Futuna	Mata-Utu	Overseas collectivity of France
128	 Swaziland	Mbabane (administrative)	
		Lobamba (royal and legislative)	
129	 Palau	Melekeok (official)	
		Ngerulmud (seat of government)	
130	 Mexico	Mexico City	
131	 Belarus	Minsk	
132	 Somalia	Mogadishu	
133	 Monaco	Monaco	City-state
134	 Liberia	Monrovia	
135	 Uruguay	Montevideo	
136	 Comoros	Moroni	
137	 Russia	Moscow	
138	 Oman	Muscat	
139	 Kenya	Nairobi	
140	 Bahamas	Nassau	
141	 Burma	Naypyidaw	
142	 Chad	N'Djamena	
143	 India	New Delhi	
144	 Niger	Niamey	
145	 Cyprus	Nicosia	
146	 Northern Cyprus	Nicosia	De facto independent state that is recognised only by Turkey. Northern Cyprus is claimed in whole by the Republic of Cyprus.
147	 Mauritania	Nouakchott	
148	 New Caledonia	Nouméa	Sui generis collectivity of France
149	 Tonga	Nuku?alofa	
150	 Greenland	Nuuk	Self-governing territory of the Danish Realm
151	 Aruba	Oranjestad	Self-governing part of the Kingdom of the Netherlands
152	 Norway	Oslo	
153	 Canada	Ottawa	
154	 Burkina Faso	Ouagadougou	
155	 American Samoa	Pago Pago	Territory of the United States
156	 Federated States of Micronesia	Palikir	
157	 Panama	Panama City	
158	 French Polynesia	Papeete	Overseas collectivity of France
159	 Suriname	Paramaribo	
160	 France	Paris	
161	 Sint Maarten	Philipsburg	Self-governing part of the Kingdom of the Netherlands
162	 Cambodia	Phnom Penh	
163	 Montserrat	Plymouth (official)	"British Overseas Territory. Plymouth was abandoned after the eruption of the Soufriere Hills volcano in 1997. Government offices since then have been moved to Brades Estate, which is in the northwestern part of Montserrat."
		Brades Estate (de facto)	
164	 Montenegro	Podgorica (official)	
		Cetinje (seat of the President)	
165	 Mauritius	Port Louis	
166	 Papua New Guinea	Port Moresby	
167	 Vanuatu	Port Vila	
168	 Haiti	Port-au-Prince	
169	 Trinidad and Tobago	Port of Spain	
170	 Benin	Porto-Novo (official)	
		Cotonou (de facto)	
171	 Czech Republic	Prague	
172	 Cape Verde	Praia	
173	 South Africa	Pretoria (executive)	
		Bloemfontein (judicial)	
		Cape Town (legislative)	
174	 Kosovo	Pristina	"De facto independent state that is recognised by 107 UN member states and by Taiwan. Claimed in whole by the Republic of Serbia as part of its Autonomous Province of Kosovo and Metohija. Republic of Kosovo has de facto control over most of the territory, with limited control in North Kosovo."
175	 North Korea	Pyongyang	
176	 Ecuador	Quito	Highest official capital.
177	 Morocco	Rabat	
178	 Iceland	Reykjavík	
179	 Latvia	Riga	
180	 Saudi Arabia	Riyadh	
181	 British Virgin Islands	Road Town	British Overseas Territory
182	 Italy	Rome	
183	 Dominica	Roseau	
184	 Northern Mariana Islands	Saipan	Territory of the United States
185	 Costa Rica	San José	
186	 Puerto Rico	San Juan	Territory of the United States
187	 San Marino	San Marino	
188	 El Salvador	San Salvador	
189	 Yemen	Sana'a	
190	 Chile	Santiago (official)	
		Valparaíso (legislative)	
191	 Dominican Republic	Santo Domingo	
192	 São Tomé and Príncipe	São Tomé	
193	 Bosnia and Herzegovina	Sarajevo	
194	 South Korea	Seoul	
195	 Singapore	Singapore	City-state
196	 Macedonia	Skopje	
197	 Bulgaria	Sofia	
198	 Sri Lanka	Sri Jayawardenepura Kotte (official)	"Also known as ""Kotte"". Until the 1980s, the capital was Colombo, where many important governmental institutions still remain and which is still designated as the commercial capital of Sri Lanka."
		Colombo (former capital; has some government offices)	
199	 Grenada	St. George's	
200	 Jersey	St. Helier	British Crown Dependency
201	 Antigua and Barbuda	St. John's	
202	 Guernsey	St. Peter Port	British Crown Dependency
203	 Saint Pierre and Miquelon	St. Pierre	Overseas collectivity of France
204	 Falkland Islands	Stanley	British Overseas Territory
205	 Nagorno-Karabakh Republic	Stepanakert	"The self-declared country remains diplomatically unrecognised by UN-member states, including Armenia. Transnistria, South Ossetia, and Abkhazia, all UN non-member states, recognise the state. Claimed in whole by Azerbaijan."
206	 Sweden	Stockholm	
207	 Bolivia	Sucre (constitutional)	"La Paz is the highest administrative capital, higher than Quito."
		La Paz (administrative)	
208	 Abkhazia	Sukhumi	"De facto independent state recognised by Russia, Nauru, Nicaragua, Venezuela, South Ossetia and Transnistria. Claimed in whole by Republic of Georgia as the Autonomous Republic of Abkhazia."
209	 Fiji	Suva	
210	 Taiwan	Taipei	"Officially the Republic of China (ROC), it has been competing for recognition with the People's Republic of China (PRC) as the sole Chinese government since 1949. Taiwan controls the island of Taiwan and its associated islands, Quemoy, Matsu, the Pratas, and part of the Spratly Islands The territory of Taiwan is claimed in whole by China. The Republic of China participates in the World Health Organization and a number of non-UN international organizations such as the World Trade Organization, International Olympic Committee and others under a variety of pseudonyms, most commonly Chinese Taipei."
211	 Estonia	Tallinn	
212	 Kiribati	Tarawa	
213	 Uzbekistan	Tashkent	
214	 Georgia	Tbilisi (official)	
		Kutaisi (legislative)	
215	 Honduras	Tegucigalpa	
216	 Iran	Tehran	
217	 Bhutan	Thimphu	
218	 Albania	Tirana	
219	 Transnistria	Tiraspol	"De facto independent state, not recognized by any UN-member, but by Abkhazia and South Ossetia. Claimed in whole by the Republic of Moldova as the Territorial Unit of Transnistria."
220	 Japan	Tokyo	
221	 Faroe Islands	Tórshavn	Self-governing territory of the Danish Realm
222	 Libya	Tripoli	
223	 South Ossetia	Tskhinvali	"De facto independent state recognised by Russia, Nicaragua, Nauru, Venezuela, Abkhazia and Transnistria. Claimed in whole by the Republic of Georgia as the Provisional Administrative Entity of South Ossetia."
224	 Tunisia	Tunis	
225	 Mongolia	Ulan Bator	
226	 Liechtenstein	Vaduz	
227	 Malta	Valletta	
228	 Anguilla	The Valley	British Overseas Territory
229	  Vatican City	Vatican City	City-state
230	 Seychelles	Victoria	
231	 Austria	Vienna	
232	 Laos	Vientiane	
233	 Lithuania	Vilnius	
234	 Poland	Warsaw	
235	 United States	"Washington, D.C."	
236	 New Zealand	Wellington	
237	 Cocos (Keeling) Islands	West Island	External territory of Australia
238	 Curaçao	Willemstad	Self-governing part of the Kingdom of the Netherlands
239	 Namibia	Windhoek	
240	 Ivory Coast	Yamoussoukro (official)	
		Abidjan (former capital; still has many government offices)	
241	 Cameroon	Yaoundé	
242	 Nauru	Yaren (de facto)	"Country does not have an official capital; however, the government offices are in Yaren."
243	 Armenia	Yerevan	
244	 Croatia	Zagreb	
			
For other more formats kindly visit www.downloadexcelfiles.com			
			
Original source : en.wikipedia.org/wiki/List_of_national_capitals_in_alphabetical_order			
